11.50		62.39		780432		109242.48  
11.50		62.66		783296		110025.77  
11.50		62.90		786148		110811.92  
11.50		63.11		789032		111600.95  
11.50		63.34		791928		112392.88  
11.50		63.59		794856		113187.74  
11.50		63.87		797788		113985.53  
11.50		64.12		800752		114786.28  
11.50		64.36		803484		115589.77  
11.50		64.60		806416		116396.18  
11.50		64.82		809252		117205.43  
11.50		65.06		812132		118017.56  
11.50		65.31		815064		118832.63  
11.50		65.58		817968		119650.59  
11.50		65.87		821080		120471.67  
11.50		66.09		823940		121295.61  
11.50		66.29		826604		122122.21  
11.50		66.53		829500		122951.71  
11.50		66.82		832428		123784.14  
11.50		67.11		835768		124619.91  
11.50		67.32		838348		125458.26  
11.50		67.51		841036		126299.30  
11.50		67.76		843964		127143.26  
11.50		67.99		846900		127990.16  
11.50		68.22		849724		128839.88  
11.50		68.43		852616		129692.50  
11.50		68.68		855540		130548.04  
11.50		68.92		858368		131406.41  
11.50		69.14		861292		132267.70  
11.50		69.36		864164		133131.86  
11.50		69.59		867100		133998.95  
11.50		69.81		869932		134868.89  
11.50		70.06		872844		135741.73  
11.50		70.28		875724		136617.45  
11.50		70.51		878636		137496.09  
11.50		70.74		881524		138377.63  
11.50		70.98		884392		139262.02  
11.50		71.19		887268		140149.28  
11.50		71.43		890184		141039.47  
11.50		71.68		893116		141932.58  
11.50		71.91		895936		142828.52  
11.50		72.15		898932		143727.45  
11.50		72.39		901744		144629.20  
11.50		72.67		904700		145533.91  
11.50		72.89		907568		146441.47  
11.50		73.12		910416		147351.89  
11.50		73.38		913304		148265.19  
11.50		73.63		916164		149181.34  
11.50		73.86		919076		150100.42  
11.50		74.11		921956		151022.38  
11.50		74.34		924864		151947.23  
11.50		74.61		927844		152875.08  
11.50		74.86		930644		153805.72  
11.50		75.10		933580		154739.30  
11.50		75.36		936424		155675.72  
11.50		75.60		939332		156615.05  
11.50		75.86		942236		157557.28  
11.50		76.10		945140		158502.42  
11.50		76.36		947992		159450.41  
11.50		76.59		950896		160401.30  
11.50		76.83		953756		161355.05  
11.50		77.07		956652		162311.70  
11.50		77.31		959552		163271.25  
11.50		77.53		962436		164233.69  
11.50		77.79		965328		165199.02  
11.50		78.03		968236		166167.25  
11.50		78.26		971092		167138.34  
11.50		78.49		973996		168112.34  
11.50		78.75		976948		169089.30  
11.50		78.98		979776		170069.08  
11.50		79.22		982664		171051.73  
11.50		79.44		985556		172037.30  
11.50		79.67		988460		173025.75  
11.50		79.92		991300		174017.05  
11.50		80.15		994236		175011.28  
11.50		80.39		997092		176008.38  
11.50		80.60		999984		177008.36  
11.50		80.82		1002932		178011.30  
11.50		81.03		1005872		179017.17  
11.50		81.26		1008848		180026.02  
11.50		81.49		1011852		181037.88  
11.50		81.73		1014780		182052.66  
11.50		81.96		1017736		183070.39  
11.50		82.17		1020736		184091.13  
11.50		82.39		1023720		185114.84  
11.50		82.65		1026668		186141.52  
11.50		82.87		1029664		187171.17  
11.50		83.11		1032616		188203.78  
11.50		83.35		1035624		189239.41  
11.50		83.60		1038632		190278.03  
11.50		83.85		1041572		191319.61  
11.50		84.08		1044588		192364.20  
11.50		84.35		1047520		193411.72  
